Regiao	D2_Sexo	D1A_Faixa_Idade	D3_Escolaridade	D10_Religiao	D12a_Cor_Raca_IBGE	D9B_FAIXA_RENDA	Q11_Satisfacao_Democracia	P3.4_Avaliacao_Governo_Federal	P3.7_Avaliacao_Partidos_Politicos	P3.8_Avaliacao_Congresso_Nacional_Senado_CamaraDeputados	P5_Confianca_Eleicoes	P4.4_Confianca_Governo_Federal	P4.7_Confianca_Partidos_Politicos	P4.8_Confianca_Congresso_Nacional_Senado_CamaraDeputados	P12_Percepcao_Corrupcao_Problema_Serio	Q7_Percepcao_Corrupcao_Generalizada	P24_Voto_Obrigatorio	Q12P2.A_votou_turno2	Q12P2.B_Atitude_Turno_2	Q12P2.B_Atitude_Turno_2
Centro Oeste	Feminino	25 A 34	Médio completo	Evangélica	Branco	2 até 5 salários mínimos	3	3	3	3	2	3	4	4	1	1	1	Sim, votou	Voto nominal	Jair Bolsonaro (PSL)
Centro Oeste	Feminino	25 A 34	Universitário completo	Não tem religião	Não branco	2 até 5 salários mínimos	3	1	3	3	2	1	3	3	1	1	2	Sim, votou	Voto branco ou nulo	Jair Bolsonaro (PSL)
Centro Oeste	Masculino	45 A 54	Fundamental completo	Não tem religião	Não branco	2 até 5 salários mínimos	3	3	1	3	2	3	4	4	1	1	2	Sim, votou	Voto nominal	Jair Bolsonaro (PSL)
Centro Oeste	Masculino	35 A 44	Fundamental incompleto	Evangélica	Não branco	1 salário mínimo	3	3	3	3	2	4	4	4	1	1	1	Sim, votou	Voto nominal	Jair Bolsonaro (PSL)
Centro Oeste	Feminino	25 A 34	Médio completo	Evangélica	Não branco	Mais de 20 salários mínimos	3	3	3	3	1	3	3	3	1	1	1	Abstenção	Abstenção	Jair Bolsonaro (PSL)
Centro Oeste	Feminino	25 A 34	Médio completo	Evangélica	Não branco	1 até 2 salários mínimos	3	3	3	3	1	4	4	4	1	1	2	Sim, votou	Voto nominal	Jair Bolsonaro (PSL)
Centro Oeste	Feminino	18 A 24	Médio completo	Não tem religião	Não branco	2 até 5 salários mínimos	3	3	1	1	2	4	4	4	1	1	2	Abstenção	Abstenção	Jair Bolsonaro (PSL)
Centro Oeste	Feminino	35 A 44	Médio completo	Não tem religião	Não branco	2 até 5 salários mínimos	3	3	3	3	2	4	4	4	1	1	2	Sim, votou	Voto nominal	Jair Bolsonaro (PSL)
Centro Oeste	Feminino	45 A 54	Fundamental incompleto	Católica	Branco	2 até 5 salários mínimos	3	1	3	3	2	3	4	4	1	1	2	Sim, votou	NR/NS	Jair Bolsonaro (PSL)
Centro Oeste	Masculino	25 A 34	Médio completo	Não tem religião	Não branco	5 até 10 salários mínimos	3	3	3	3	2	4	4	4	1	1	2	Sim, votou	Voto nominal	Abstenção
Centro Oeste	Feminino	25 A 34	Médio completo	Católica	Não branco	5 até 10 salários mínimos	1	1	3	3	1	2	3	2	1	1	1	Sim, votou	Voto nominal	Abstenção
Centro Oeste	Masculino	35 A 44	Médio completo	Não tem religião	Não branco	NS/NR	3	3	3	3	2	4	4	4	1	1	2	Abstenção	Abstenção	Jair Bolsonaro (PSL)
Centro Oeste	Masculino	25 A 34	Médio completo	Evangélica	Não branco	2 até 5 salários mínimos	3	2	3	3	2	4	4	4	1	2	2	Sim, votou	Voto nominal	Jair Bolsonaro (PSL)
Centro Oeste	Feminino	25 A 34	Médio completo	Evangélica	Não branco	1 até 2 salários mínimos	3	3	3	3	2	3	3	3	1	3	2	Sim, votou	Voto nominal	Jair Bolsonaro (PSL)
